timestamp_utc,type,set_idx,reps_in_set,good_reps_in_set,good_rate_pct,total_reps_completed,good_reps_total,good_rate_total_pct,avg_up_speed_norm,avg_down_speed_deg_s,avg_cadence_rpm,avg_motivation,depth_median_deg,verdict
2025-09-13T03:25:40Z,set,1,3,2,66.7,3,,,1.4747,36.4,6.1,64.0,133.2,Medium
2025-09-13T03:26:02Z,set,2,3,2,66.7,6,,,1.7074,62.3,8.0,61.3,124.6,Medium
2025-09-13T03:26:24Z,set,3,3,1,33.3,9,,,1.5576,39.6,8.5,48.0,124.3,Bad
2025-09-13T03:26:24Z,workout,3,,,,9,5,55.6,1.5799,46.1,7.4,57.8,124.6,Could do better
2025-09-13T03:27:29Z,set,1,3,3,100.0,3,,,1.3626,23.9,8.0,64.3,103.5,Medium
2025-09-13T03:27:51Z,set,2,3,2,66.7,6,,,1.5425,47.1,7.9,60.0,106.6,Medium
2025-09-13T03:28:26Z,set,3,3,0,0.0,9,,,1.3423,27.0,5.2,36.7,130.7,Bad
2025-09-13T03:28:26Z,workout,3,,,,9,5,55.6,1.4158,32.6,6.8,53.7,116.7,Could do better
2025-09-13T03:29:17Z,set,1,3,3,100.0,3,,,1.9395,115.1,7.2,74.3,125.0,Good
2025-09-13T03:29:37Z,set,2,3,2,66.7,6,,,1.9603,88.1,9.1,57.7,115.2,Could do better
2025-09-13T03:29:56Z,set,3,3,1,33.3,9,,,1.8231,73.2,9.3,47.7,106.5,Bad
2025-09-13T03:29:57Z,workout,3,,,,9,6,66.7,1.9076,92.1,8.4,59.9,115.2,Could do better
